date,open,highest,lowest,close,volume
2024-01-05 17:54:00+00:00,181.78,181.795,181.745,181.765,30535
2024-01-05 17:55:00+00:00,181.765,181.775,181.71,181.745,33407
2024-01-05 17:56:00+00:00,181.74,181.795,181.715,181.795,54409
2024-01-05 17:57:00+00:00,181.79,181.79,181.645,181.65,64643
2024-01-05 17:58:00+00:00,181.65,181.73,181.645,181.67,71823
2024-01-05 17:59:00+00:00,181.675,181.675,181.59,181.59,55749
2024-01-05 18:00:00+00:00,181.5933,181.6,181.475,181.57,91303
2024-01-05 18:01:00+00:00,181.58,181.6,181.47,181.51,60534
2024-01-05 18:02:00+00:00,181.51,181.52,181.365,181.37,127472
2024-01-05 18:03:00+00:00,181.38,181.39,181.23,181.265,139965
2024-01-05 18:04:00+00:00,181.27,181.34,181.21,181.32,109707
2024-01-05 18:05:00+00:00,181.33,181.45,181.28,181.43,88111
2024-01-05 18:06:00+00:00,181.435,181.48,181.38,181.48,58977
2024-01-05 18:07:00+00:00,181.471,181.54,181.44,181.5342,37944
2024-01-05 18:08:00+00:00,181.54,181.615,181.465,181.49,69051
2024-01-05 18:09:00+00:00,181.4788,181.49,181.4121,181.46,31522
2024-01-05 18:10:00+00:00,181.455,181.56,181.4399,181.47,43420
2024-01-05 18:11:00+00:00,181.47,181.5,181.39,181.42,57692
2024-01-05 18:12:00+00:00,181.4301,181.46,181.37,181.38,43241
2024-01-05 18:13:00+00:00,181.38,181.38,181.3,181.37,78675
2024-01-05 18:14:00+00:00,181.395,181.4,181.32,181.33,80894
2024-01-05 18:15:00+00:00,181.345,181.4883,181.32,181.465,72815
2024-01-05 18:16:00+00:00,181.46,181.46,181.32,181.32,66177
2024-01-05 18:17:00+00:00,181.32,181.415,181.275,181.385,77523
2024-01-05 18:18:00+00:00,181.3853,181.405,181.3,181.31,81917
2024-01-05 18:19:00+00:00,181.305,181.4,181.305,181.384,57483
2024-01-05 18:20:00+00:00,181.39,181.56,181.39,181.5448,115056
2024-01-05 18:21:00+00:00,181.54,181.61,181.52,181.53,69597
2024-01-05 18:22:00+00:00,181.53,181.58,181.513,181.545,51354
2024-01-05 18:23:00+00:00,181.54,181.58,181.5,181.54,66930
2024-01-05 18:24:00+00:00,181.54,181.58,181.5058,181.55,54104
2024-01-05 18:25:00+00:00,181.54,181.64,181.53,181.595,91973
2024-01-05 18:26:00+00:00,181.5911,181.61,181.56,181.565,45474
2024-01-05 18:27:00+00:00,181.56,181.65,181.51,181.63,58216
2024-01-05 18:28:00+00:00,181.63,181.735,181.63,181.7,83635
2024-01-05 18:29:00+00:00,181.69,181.76,181.67,181.74,60075
2024-01-05 18:30:00+00:00,181.745,181.95,181.7415,181.94,130385
2024-01-05 18:31:00+00:00,181.94,181.955,181.85,181.9201,99497
2024-01-05 18:32:00+00:00,181.925,181.94,181.8324,181.845,61454
2024-01-05 18:33:00+00:00,181.84,181.8415,181.7712,181.8188,55540
2024-01-05 18:34:00+00:00,181.82,181.9,181.8147,181.89,58644
2024-01-05 18:35:00+00:00,181.89,181.905,181.805,181.812,65692
2024-01-05 18:36:00+00:00,181.815,181.9,181.8077,181.895,44184
2024-01-05 18:37:00+00:00,181.89,181.94,181.88,181.89,40022
2024-01-05 18:38:00+00:00,181.89,181.95,181.8701,181.8701,99628
2024-01-05 18:39:00+00:00,181.88,181.9899,181.87,181.9514,105632
2024-01-05 18:40:00+00:00,181.95,181.98,181.84,181.8719,125821
2024-01-05 18:41:00+00:00,181.88,181.96,181.88,181.935,75860
2024-01-05 18:42:00+00:00,181.94,181.99,181.93,181.965,93506
2024-01-05 18:43:00+00:00,181.965,181.99,181.95,181.96,64689
2024-01-05 18:44:00+00:00,181.96,182,181.94,181.995,78155
2024-01-05 18:45:00+00:00,182,182.1171,182,182.0969,165029
2024-01-05 18:46:00+00:00,182.095,182.15,182.07,182.15,107726
2024-01-05 18:47:00+00:00,182.155,182.165,182.07,182.075,72640
2024-01-05 18:48:00+00:00,182.07,182.135,182.07,182.1135,37548
2024-01-05 18:49:00+00:00,182.1175,182.14,182.09,182.14,46703
2024-01-05 18:50:00+00:00,182.135,182.16,182.0827,182.0827,48100
2024-01-05 18:51:00+00:00,182.09,182.12,182.05,182.11,85225
2024-01-05 18:52:00+00:00,182.11,182.17,182.1,182.155,52282
2024-01-05 18:53:00+00:00,182.155,182.23,182.14,182.17,95496
2024-01-05 18:54:00+00:00,182.155,182.185,182.125,182.1742,60920
2024-01-05 18:55:00+00:00,182.1667,182.21,182.12,182.193,88084
2024-01-05 18:56:00+00:00,182.195,182.21,182.05,182.08,82518
2024-01-05 18:57:00+00:00,182.0999,182.12,182.07,182.075,46923
2024-01-05 18:58:00+00:00,182.07,182.09,182.06,182.075,45264
2024-01-05 18:59:00+00:00,182.07,182.0775,182.0201,182.035,38320
2024-01-05 19:00:00+00:00,182.035,182.095,182.03,182.0915,45418
2024-01-05 19:01:00+00:00,182.09,182.09,182.0401,182.06,65386
2024-01-05 19:02:00+00:00,182.07,182.115,182.03,182.075,58565
2024-01-05 19:03:00+00:00,182.07,182.105,182.03,182.0553,46859
2024-01-05 19:04:00+00:00,182.06,182.1,182.055,182.055,60010
2024-01-05 19:05:00+00:00,182.0503,182.0884,182.01,182.08,58730
2024-01-05 19:06:00+00:00,182.09,182.1109,182.04,182.07,37460
2024-01-05 19:07:00+00:00,182.075,182.16,182.05,182.1302,58551
2024-01-05 19:08:00+00:00,182.13,182.17,182.105,182.155,54611
2024-01-05 19:09:00+00:00,182.16,182.165,182.08,182.0977,78499
2024-01-05 19:10:00+00:00,182.095,182.1,182.03,182.04,109399
2024-01-05 19:11:00+00:00,182.04,182.05,181.99,182.015,68147
2024-01-05 19:12:00+00:00,182.015,182.0486,181.98,181.995,64067
2024-01-05 19:13:00+00:00,181.99,182.04,181.97,181.97,58520
2024-01-05 19:14:00+00:00,181.9662,182.1399,181.95,182.116,71129
2024-01-05 19:15:00+00:00,182.115,182.18,181.03,181.18,1017333
2024-01-05 19:16:00+00:00,181.18,181.45,181.03,181.26,766224
2024-01-05 19:17:00+00:00,181.27,181.59,181.04,181.04,601827
2024-01-05 19:18:00+00:00,181.04,181.09,180.42,180.5694,859779
